# lint-setup-contracts.sh baseline — known violations, one per line: rule|file|detail
# Regenerate: bash scripts/lint-setup-contracts.sh --record
# A line here suppresses that ONE violation. Anything new is a hard FAIL.
R4-dead-trigger|templates/packs/_trigger-vocabulary.md|trigger 'backend_track' is declared and consumed but nothing ASSIGNS it — a prose mention of the name is not an extractor (grep for 'backend_track=' or 'backend_track:' in templates/appendices.md, templates/packs/learning/skills/ or scripts/)
R4-dead-trigger|templates/packs/_trigger-vocabulary.md|trigger 'codebase_age_above_2y' is declared and consumed but nothing ASSIGNS it — a prose mention of the name is not an extractor (grep for 'codebase_age_above_2y=' or 'codebase_age_above_2y:' in templates/appendices.md, templates/packs/learning/skills/ or scripts/)
R4-dead-trigger|templates/packs/_trigger-vocabulary.md|trigger 'codebase_has_base_classes' is declared and consumed but nothing ASSIGNS it — a prose mention of the name is not an extractor (grep for 'codebase_has_base_classes=' or 'codebase_has_base_classes:' in templates/appendices.md, templates/packs/learning/skills/ or scripts/)
R4-dead-trigger|templates/packs/_trigger-vocabulary.md|trigger 'container_target_likely' is declared and consumed but nothing ASSIGNS it — a prose mention of the name is not an extractor (grep for 'container_target_likely=' or 'container_target_likely:' in templates/appendices.md, templates/packs/learning/skills/ or scripts/)
R4-dead-trigger|templates/packs/_trigger-vocabulary.md|trigger 'git_log_accessible' is declared and consumed but nothing ASSIGNS it — a prose mention of the name is not an extractor (grep for 'git_log_accessible=' or 'git_log_accessible:' in templates/appendices.md, templates/packs/learning/skills/ or scripts/)
R4-dead-trigger|templates/packs/_trigger-vocabulary.md|trigger 'migration_ledger_present' is declared and consumed but nothing ASSIGNS it — a prose mention of the name is not an extractor (grep for 'migration_ledger_present=' or 'migration_ledger_present:' in templates/appendices.md, templates/packs/learning/skills/ or scripts/)
R4-dead-trigger|templates/packs/_trigger-vocabulary.md|trigger 'module_per_feature_layout' is declared and consumed but nothing ASSIGNS it — a prose mention of the name is not an extractor (grep for 'module_per_feature_layout=' or 'module_per_feature_layout:' in templates/appendices.md, templates/packs/learning/skills/ or scripts/)
R4-dead-trigger|templates/packs/_trigger-vocabulary.md|trigger 'refine_mode' is declared and consumed but nothing ASSIGNS it — a prose mention of the name is not an extractor (grep for 'refine_mode=' or 'refine_mode:' in templates/appendices.md, templates/packs/learning/skills/ or scripts/)
R4-dead-trigger|templates/packs/_trigger-vocabulary.md|trigger 'refinement_eligible' is declared and consumed but nothing ASSIGNS it — a prose mention of the name is not an extractor (grep for 'refinement_eligible=' or 'refinement_eligible:' in templates/appendices.md, templates/packs/learning/skills/ or scripts/)
R4-dead-trigger|templates/packs/_trigger-vocabulary.md|trigger 'ssr_enabled' is declared and consumed but nothing ASSIGNS it — a prose mention of the name is not an extractor (grep for 'ssr_enabled=' or 'ssr_enabled:' in templates/appendices.md, templates/packs/learning/skills/ or scripts/)
R5-no-project-kind|templates/packs/observability/agents/telemetry-architect.md|reads as browser-only but declares no project_kind: (see templates/packs/_project-kind.md)
R5-no-project-kind|templates/packs/observability/skills/synthetic-monitoring/SKILL.md|reads as browser-only but declares no project_kind: (see templates/packs/_project-kind.md)
R5-no-project-kind|templates/packs/performance/commands/perf-audit.md|reads as browser-only but declares no project_kind: (see templates/packs/_project-kind.md)
R5-no-project-kind|templates/packs/performance/rules/performance-principles.md|reads as browser-only but declares no project_kind: (see templates/packs/_project-kind.md)
